"phrase_id","lng_id","translation"
"320","2","Aktiv"
"319","1","Print view"
"319","2","Druckansicht"
"316","1","Hidden"
"316","2","Versteckt"
"317","1","Visible"
"317","2","Sichtbar"
"318","1","Description"
"318","2","Beschreibung"
"315","1","Keywords"
"315","2","Schlagwörter"
"314","2","Seitentitel"
"314","1","Page title"
"313","1","Define metatags"
"313","2","Metatags definieren"
"312","1","Group"
"312","2","Gruppe"
"311","1","Author"
"311","2","Autor"
"310","1","Create"
"310","2","Erzeugen"
"309","1","Write"
"309","2","Schreiben"
"308","1","Read"
"308","2","Lesen"
"307","1","View"
"307","2","Ansicht"
"306","1","Please select a view. This will select a module, too."
"306","2","Bitte wählen Sie eine Ansicht aus. Das Modul wird dann automatisch eingestellt."
"305","1","The input in field ""%s"" is not correct."
"305","2","Die Eingabe in das Feld ""%s"" ist nicht korrekt."
"304","1","Properties of the page ""%s (%s)"" on ""%s"" from ""%s"" changed."
"304","2","Eigenschaften der Seite ""%s (%s)"" am ""%s"" von ""%s"" geändert."
"303","1","Properties of the page ""%s (%s)"" changed."
"303","2","Eigenschaften der Seite ""%s (%s)"" geändert."
"302","1","%s modified."
"302","2","%s geändert."
"301","1","Delete published page"
"301","2","Veröffentliche Seite löschen"
"300","1","Unpublish page ""%s"" (%s)? (The page will not be deleted)"
"300","2","Veröffentlichung der Seite ""%s"" (%s) entfernen? (Die Seite wird nicht gelöscht)"
"299","1","Publish"
"299","2","Veröffentlichen"
"297","1","Publish page"
"297","2","Seite veröffentlichen"
"298","1","Please enter a comment to publish page ""%s"" (%s)."
"298","2","Bitte geben Sie einen Kommentar ein, um die Seite ""%s"" (%s) zu veröffentlichen."
"296","1","Please select a page."
"296","2","Bitte wählen Sie eine Seite aus."
"295","1","Inherited boxes"
"295","2","Übernommene Boxen"
"294","1","Show"
"294","2","Anzeigen"
"293","1","Inherit boxes from a parent page."
"293","2","Die Boxen werden von einer übergeordneten Seite übernommen."
"292","1","Yes, activate!"
"292","2","Ja, aktivieren!"
"291","1","Define own boxes for this page?"
"291","2","Eigene Boxen für diese Seite definieren?"
"290","1","Linked boxes"
"290","2","Verbundene Boxen"
"289","1","Disable"
"289","2","Deaktivieren"
"288","1","This page has own boxes."
"288","2","Diese Seite hat eigene Boxen."
"287","1","Published"
"287","2","Veröffentlicht"
"286","1","Modified"
"286","2","Geändert"
"285","1","Permission"
"285","2","Recht"
"284","1","Access to the page is restricted to registered visitors with the defined permissions. A page without any permission is available to all visitors."
"284","2","Der Zugriff auf diese Seite ist registrierten Benutzern mit den definierten Rechten vorbehalten. Seiten ohne definierte Rechte sind für alle Besucher verfügbar."
"283","1","Access permissions"
"283","2","Zugriffsrechte"
"282","1","Processing"
"282","2","Verarbeitung"
"281","1","Informations"
"281","2","Informationen"
"280","1","All users"
"280","2","Alle Benutzer"
"279","1","An user can be in several groups."
"279","2","Ein Benutzer kann in mehreren Gruppen sein."
"278","1","Groups"
"277","1","Edit dates"
"278","2","Gruppen"
"277","2","Termine ändern"
"276","1","View dates"
"276","2","Termine anschauen"
"275","1","Create pages"
"275","2","Seiten anlegen"
"274","1","Translate"
"274","2","Übersetzen"
"273","1","Link boxes"
"273","2","Boxen anbinden"
"272","1","Change folders"
"272","2","Ordner ändern"
"271","1","File management"
"271","2","Dateiverwaltung"
"270","1","Delete files"
"270","2","Dateien löschen"
"268","1","Rename files"
"269","1","Upload files"
"268","2","Dateien umbenennen"
"269","2","Dateien hochladen"
"267","1","Module management"
"267","2","Modulverwaltung"
"266","2","Systemkonfiguration"
"266","1","System configuration"
"265","1","Delete pages"
"265","2","Seiten löschen"
"264","1","Change edit permissions"
"264","2","Editierrechte ändern"
"263","1","Copy"
"263","2","Kopieren"
"261","1","Move"
"261","2","Verschieben"
"262","1","Edit main nodes"
"262","2","Hauptknoten ändern"
"259","1","Change page state"
"259","2","Seitenstatus ändern"
"260","1","Edit pages from others"
"260","2","Seiten anderer Autoren ändern"
"258","1","Assigned"
"258","2","Zugewiesen"
"257","1","Member"
"257","2","Mitglied"
"256","1","Delete user ""%s"" (%s)?"
"256","2","Benutzer ""%s"" (%s) löschen?"
"255","1","Login"
"255","2","Anmeldung"
"254","1","Change login/password"
"254","2","Benutzername/Passwort ändern"
"252","1","Page depth"
"252","2","Seitentiefe"
"253","2","Basisseite"
"253","1","Base page"
"249","1","Email"
"249","2","E-Mail"
"250","1","Name"
"250","2","Name"
"251","1","Change user"
"251","2","Benutzer ändern"
"248","1","Change group"
"248","2","Gruppe ändern"
"247","1","Repetition"
"247","2","Wiederholung"
"246","1","Please input your password again."
"246","2","Bitte geben Sie Ihr Passwort nochmals ein."
"245","1","Password"
"245","2","Passwort"
"244","1","New user"
"244","2","Neuer Benutzer"
"243","1","New group"
"243","2","Neue Gruppe"
"242","1","(De)activate permissions"
"242","2","Rechte (de)aktivieren"
"241","1","Delete user"
"241","2","Benutzer löschen"
"240","1","Delete file"
"240","2","Datei löschen"
"239","1","Cut file"
"239","2","Datei ausschneiden"
"238","1","Cut"
"238","2","Ausschneiden"
"237","1","Edit file properties"
"237","2","Dateieigenschaften bearbeiten"
"236","1","Open file in a new window"
"236","2","Datei in neuem Fenster anzeigen"
"235","1","Show file"
"235","2","Datei anzeigen"
"234","1","Synchronize database with directory"
"1250","1","Synchronize database with directory"
"234","2","Datenbank mit Verzeichnis abgleichen"
"1250","2","Datenbank mit Verzeichnis abgleichen"
"233","1","Synchronize"
"1249","1","Synchronize"
"233","2","Synchronisieren"
"1249","2","Synchronisieren"
"232","1","Create a new folder"
"232","2","Neuen Ordner erzeugen"
"231","1","New folder"
"231","2","Neuer Ordner"
"230","1","User ""%s (%s)"" at ""%s"" on ""%s"" logged in successfull."
"230","2","Benutzer ""%s (%s)"" at ""%s"" on ""%s"" erfolgreich angemeldet."
"229","1","User ""%s"" logged in."
"229","2","Benutzer ""%s"" angemeldet."
"228","1","OK"
"228","2","OK"
"227","1","Username"
"227","2","Benutzername"
"226","1","Height"
"226","2","Höhe"
"225","1","Width"
"225","2","Breite"
"224","1","Filesize"
"224","2","Dateigröße"
"223","1","Filename"
"223","2","Dateiname"
"222","1","Files"
"222","2","Dateien"
"221","1","Upload"
"221","2","Hochladen"
"220","1","Upload file"
"220","2","Datei hochladen"
"219","1","Bottom space"
"219","2","Abstand unten"
"218","1","Right space"
"218","2","Abstand rechts"
"217","1","Top space"
"217","2","Abstand oben"
"216","1","Left space"
"216","2","Abstand links"
"215","1","Middle (vertical)"
"215","2","Mittig (vertikal)"
"214","1","Center (horizontal)"
"214","2","Zentriert (horizontal)"
"213","1","Right"
"213","2","Rechts"
"212","1","Left"
"212","2","Links"
"211","1","None"
"211","2","Keine"
"210","1","Alignment"
"210","2","Ausrichtung"
"209","1","Formatting"
"209","2","Formatierung"
"208","1","New window"
"208","2","Neues Fenster"
"207","1","Current window and top frame"
"207","2","Aktuelles Fenster und oberstes Frame"
"206","1","Curent window and parent frame"
"206","2","Aktuelles Fenster und übergeordnetes Frame"
"205","1","Current window and frame"
"205","2","Aktuelles Fenster und Frame"
"204","1","Default"
"204","2","Standard"
"203","1","Link target"
"203","2","Linkziel"
"202","1","Link"
"202","2","Link"
"201","2","Verlinkung"
"201","1","Linking"
"199","1","Minimum"
"199","2","Minimum"
"200","1","Absolute"
"200","2","Absolut"
"198","1","Scaling mode"
"198","2","Skalierungsmodus"
"197","1","Scaling"
"197","2","Skalierung"
"196","1","Alternative text"
"196","2","Alternativtext"
"195","1","Image height"
"195","2","Bildhöhe"
"194","1","Image width"
"194","2","Bildbreite"
"193","1","File type"
"193","2","Dateityp"
"192","1","File date"
"192","2","Dateidatum"
"191","1","Integration"
"191","2","Einbindung"
"190","1","Quickinfo"
"190","2","Quickinfo"
"189","1","Link text"
"189","2","Linktext"
"188","1","File ""%s"" added."
"188","2","Datei ""%s"" hinzugefügt."
"187","1","No thumbnail"
"187","2","Kein Thumbnail"
"186","1","Folder"
"186","2","Ordner"
"185","1","Desktop"
"185","2","Schreibtisch"
"184","1","Paste"
"184","2","Einfügen"
"183","1","Clipboard"
"183","2","Zwischenablage"
"182","1","New box"
"182","2","Neue Box"
"181","1","Delete group"
"181","2","Gruppe löschen"
"180","1","Delete box"
"180","2","Box löschen"
"179","1","Box modules"
"179","2","Boxmodule"
"178","1","Restore"
"178","2","Wiederherstellen"
"177","1","Backup time"
"177","2","Sicherungszeitpunkt"
"176","1","Backups"
"176","2","Backups"
"174","1","Type"
"174","2","Typ"
"175","1","Box published."
"175","2","Box veröffentlicht."
"173","1","Publish box from ""%s""?"
"173","2","Box vom ""%s"" veröffentlichen?"
"172","1","Box module"
"172","2","Boxmodul"
"171","1","Login failed"
"171","2","Anmeldung fehlgeschlagen"
"170","1","Login of ""%s"" at ""%s"" on ""%s"" failed."
"170","2","Anmeldung von  ""% (%s)""  am  ""%s"" fehlgeschlagen."
"169","1","Login of ""%s"" failed."
"169","2","Anmeldung von ""%s"" fehlgeschlagen."
"168","1","User ""%s"" at ""%s"" on ""%s"" logged out successfull."
"168","2","Benutzer ""%s"" von ""%s"" am ""%s"" erfolgreich abgemeldet."
"167","1","User ""%s"" logged out."
"167","2","Benutzer ""%s"" abgemeldet."
"166","1","New regulary date"
"166","2","Neuer Regeltermin"
"165","1","New date"
"165","2","Neuer Termin"
"164","1","%s date(s)"
"164","2","%s Termin(e)"
"163","1","Next month"
"163","2","Nächster Monat"
"162","1","Current month"
"162","2","Aktueller Monat"
"161","2","Vorheriger Monat"
"161","1","Previous month"
"160","2","April"
"160","1","April"
"159","1","March"
"159","2","März"
"158","1","February"
"158","2","Februar"
"157","1","December"
"157","2","Dezember"
"156","1","November"
"156","2","November"
"155","1","October"
"155","2","Oktober"
"154","1","September"
"154","2","September"
"152","1","August"
"152","2","August"
"153","1","July"
"153","2","Juli"
"150","1","June"
"150","2","Juni"
"151","1","May"
"151","2","Mai"
"149","1","Sunday"
"149","2","Sonntag"
"148","1","Su"
"148","2","So"
"147","1","Saturday"
"147","2","Samstag"
"146","1","Sa"
"146","2","Sa"
"145","1","Friday"
"145","2","Freitag"
"144","2","Fr"
"144","1","Fr"
"143","2","Donnerstag"
"143","1","Thursday"
"142","1","Th"
"142","2","Do"
"141","1","Wednesday"
"141","2","Mittwoch"
"140","1","We"
"140","2","Mi"
"139","1","Thuesday"
"139","2","Dienstag"
"138","1","Tu"
"138","2","Di"
"137","1","Monday"
"137","2","Montag"
"136","1","Mo"
"136","2","Mo"
"134","1","End date in ISO format (2003-01-01)"
"134","2","Endzeitpunkt im ISO-Format (2003-01-01)"
"133","1","Phrase added."
"133","2","Phrase hinzugefügt."
"131","1","Message deleted."
"131","2","Nachricht gelöscht."
"132","1","Start date in ISO format (2002-12-31)"
"132","2","Startzeitpunkt im ISO-format (2002-12-31)"
"135","2","Termin kopieren"
"135","1","Copy date"
"130","1","Delete phrase"
"130","2","Phrase löschen"
"129","1","Delete phrase ""%s""?"
"129","2","Phrase ""%s"" löschen?"
"415","1","Phrase deleted."
"415","2","Phrase gelöscht."
"128","1","New phrase"
"128","2","Neue Phrase"
"127","1","Modules/Views"
"127","2","Module/Ansichten"
"126","1","File"
"126","2","Datei"
"125","1","Class"
"125","2","Klasse"
"124","1","Edit mode"
"124","2","Editmodus"
"123","1","Output"
"123","2","Ausgabe"
"122","1","Edit view"
"122","2","Bearbeitungsansicht"
"121","1","Delete view"
"121","2","Ansicht löschen"
"119","1","New view"
"119","2","Neue Ansicht"
"120","1","Database error! Changes not saved."
"120","2","Datenbankfehler! Änderungen nicht gespeichert."
"118","1","No box modules found!"
"118","2","Keine Box-Module gefunden!"
"117","1","Discussions"
"117","2","Diskussionen"
"116","1","Categories"
"114","1","Modules reloaded."
"115","2","Module suchen"
"115","1","Search modules"
"116","2","Kategorien"
"113","2","Zusätzliche Tage"
"113","1","Additional days"
"114","2","Die Module wurden neu geladen."
"112","1","Date count"
"112","2","Terminanzahl"
"111","1","Hyperlink"
"111","2","Hyperlink"
"110","1","XSL stylesheet"
"110","2","XSL-Stylesheet"
"109","1","Page"
"109","2","Seite"
"108","1","Connect"
"108","2","Verbinden"
"107","1","Available boxes"
"107","2","Verfügbare Boxen"
"106","1","New Box created."
"106","2","Neue Box erzeugt."
"105","1","Calendar date ""%s"" (%s) modified."
"105","2","Termin ""%s"" (%s) geändert."
"104","1","Calendar date modified."
"104","2","Termin geändert."
"103","1","Forums"
"103","2","Foren"
"102","1","Delete forum"
"102","2","Forum löschen"
"100","1","New forum"
"100","2","Neues Forum"
"101","1","Delete category"
"101","2","Kategorie löschen"
"99","1","New category"
"99","2","Neue Kategorie"
"98","1","Module / View"
"98","2","Modul / Ansicht"
"92","1","Select"
"92","2","Auswahl"
"93","1","User permissions"
"94","1","Login and Password"
"93","2","Benutzerrechte"
"94","2","Login und Passwort"
"95","1","New user created."
"96","1","Forum"
"95","2","Neuen Benutzer erzeugt."
"97","1","Category deleted."
"96","2","Forum"
"97","2","Kategorie gelöscht."
"91","1","Delete categ ""%s"" (%s)?"
"91","2","Kategorie ""%s"" (%s) löschen?"
"90","1","Category is not empty."
"90","2","Die Kategorie ist nicht leer."
"89","1","Category"
"89","2","Kategorie"
"88","1","Forum deleted."
"88","2","Forum gelöscht."
"87","1","Delete forum ""%s"" (%s)?"
"87","2","Forum ""%s"" (%s) löschen?"
"86","1","Category added."
"86","2","Kategorie hinzugefügt."
"85","1","Delete folder"
"85","2","Ordner löschen"
"84","1","Cut folder"
"84","2","Ordner ausschneiden"
"83","1","Rename folder"
"83","2","Ordner umbenennen"
"82","1","Rename"
"82","2","Umbenennen"
"81","1","Forum added."
"81","2","Forum hinzugefügt."
"80","1","Delete all events"
"80","2","Alle Ereignisse löschen"
"79","2","Leeren"
"79","1","Empty"
"78","1","Delete all events older like this."
"78","2","Alle Ereignisse löschen, welche älter als dieses sind."
"75","1","Delete old"
"75","2","Alte löschen"
"76","1","Refresh"
"76","2","Aktualisieren"
"77","1","Priority"
"77","2","Priorität"
"73","1","Answers"
"73","2","Antworten"
"74","2","Betreff"
"74","1","Subject"
"70","1","Threads"
"70","2","Threads"
"71","1","Thread"
"71","2","Thread"
"72","1","Send answers"
"72","2","Antworten zuschicken"
"69","1","Page ""%s (%s)"" published."
"69","2","Seite ""%s (%s)"" veröffentlicht."
"68","1","Page published."
"68","2","Seite veröffentlicht."
"67","1","Registered User"
"67","2","Registrierter Benutzer"
"66","1","Delete entry"
"66","2","Eintrag löschen"
"65","1","Entry"
"65","2","Eintrag"
"64","1","Delete thread"
"64","2","Thread löschen"
"63","1","Title - question"
"63","2","Titel - Frage/Thema"
"62","1","Title - answer"
"62","2","Titel - Antworten"
"61","1","Mode"
"61","2","Modus"
"60","1","Per page"
"60","2","Pro Seite"
"59","1","Page ""%s (%s)"" on ""%s"" from ""%s (%s@%s)"" published."
"59","2","Seite ""%s (%s)"" auf ""%s"" von ""%s (%s@%s)"" veröffentlicht."
"58","1","Delete entry ""%s"" (%s) from ""%s""?"
"58","2","Eintrag ""%s"" (%s) von ""%s"" löschen?"
"57","1","Delete entry ""%s"" (%s)?"
"57","2","Eintrag ""%s"" (%s) löschen?"
"56","1","Input form"
"56","2","Eingabeformular"
"55","1","Show input form on webpage?"
"55","2","Eingabeformular auf der Webseite anzeigen"
"54","1","View added."
"54","2","Ansicht hinzugefügt."
"53","1","Maximum count"
"53","2","Maximalanzahl"
"52","1","Latest date in ISO format (2003-12-31)"
"52","2","Spätetes Datum im ISO-Format (2003-12-31)"
"51","1","Earliest date in ISO format (2002-12-31)"
"51","2","Frühstes Datum im ISO-Format (2002-12-31)"
"50","1","Module for calculating the dates"
"50","2","Modul zum Berechnen der Termine"
"49","1","Regulary date deleted."
"49","2","Regeltermin gelöscht."
"48","1","Create single dates for a regulary date"
"48","2","Einzeltermine für den Regeltermin erzeugen"
"47","1","Create dates"
"47","2","Termine erzeugen"
"46","1","Date list"
"46","2","Terminliste"
"45","1","Time configuration"
"45","2","Zeitkonfiguration"
"44","1","Dates"
"44","2","Termine"
"43","1","Regulary dates"
"43","2","Regeltermine"
"42","1","Regulary date saved and %d dates created."
"42","2","Regeltermin gespeichert und %d Termine erzeugt."
"41","1","%s files deleted."
"41","2","%s Dateien gelöscht."
"40","1","Delete subthread"
"40","2","Zweig löschen"
"39","1","Delete thread ""%s"" (%s) from ""%s""?"
"39","2","Thread ""%s"" (%s) von ""%s"" löschen?"
"38","1","Entries per page"
"38","2","Einträge pro Seite"
"37","1","Threads per page"
"37","2","Threads pro Seite"
"36","1","page splitting"
"36","2","Seitenaufteilung"
"35","1","GoTo"
"35","2","GoTo"
"34","1","Page ID"
"34","2","Seiten-ID"
"33","1","Goto page"
"33","2","Gehe zu Seite"
"32","1","Backup restored."
"32","2","Backup wiederhergestellt."
"31","1","Restore backup"
"31","2","Backup wiederherstellen"
"30","1","Restore backup for ""%s"" from %s?"
"30","2","Backup von ""%s"" vom ""%s"" wiederherstellen?"
"29","1","Print view activated."
"29","2","Druckansicht aktiviert."
"28","1","Delete file ""%s"" (%s)?"
"28","2","Lösche Datei ""%s"" (%s)?"
"27","1","Orientation"
"27","2","Ausrichtung"
"25","1","Columns"
"25","2","Spalten"
"26","1","View deleted."
"26","2","Ansicht gelöscht."
"24","1","Delete view ""%s"" (%s)?"
"24","2","Ansicht ""%s"" (%s) löschen?"
"23","1","The folder is not empty."
"23","2","Der Ordner ist nicht leer."
"22","1","New group created."
"22","2","Neue Gruppe erzeugt."
"21","1","Use own metatags."
"21","2","Eigene Metatags nutzen."
"20","1","Delete folder ""%s""?"
"20","2","Ordner ""%s"" löschen?"
"19","1","Create a new alias"
"19","2","Neuen Alias erzeugen"
"18","1","New alias"
"18","2","Neuer Alias"
"17","1","Can not find cache directory."
"17","2","Cacheverzeichnis kann nicht gefunden werden."
"16","1","Images"
"16","2","Bilder"
"15","1","Backup deleted."
"15","2","Backup gelöscht."
"14","1","Delete backup"
"14","2","Backup löschen"
"13","1","Delete backup for ""%s"" from %s?"
"460","2","abgeleitet"
"461","1","You have no edit permissions for this page."
"461","2","Sie haben keine Editierrechte für diese Seite."
"463","1","Add phrase"
"462","2","Eigentümer"
"463","2","Phrase hinzufügen"
"462","1","Owner"
"464","1","Target"
"464","2","Ziel"
"465","1","List"
"465","2","Liste"
"466","1","Info"
"466","2","Info"
"467","1","Input"
"467","2","Eingabe"
"468","1","location"
"468","2","Ort"
"469","1","Price"
"469","2","Preis"
"470","1","Organizer"
"470","2","Veranstalter"
"471","1","Texts"
"471","2","Texte"
"472","1","Send emails"
"472","2","Emails senden"
"473","1","Minimum crop"
"473","2","Minimum Ausschnitt"
"474","1","Download"
"474","2","Download"
"475","1","Replace"
"475","2","Ersetzen"
"476","1","Different file formats. Could not replace current file."
"476","2","Unterschiedliche Dateiformate. Die aktuelle Datei kann nicht ersetzt werden."
"477","1","New permission"
"477","2","Neues Recht"
"478","1","Delete surfer"
"478","2","Surfer löschen"
"479","1","New surfer"
"479","2","Neuer Surfer"
"480","1","New"
"480","2","Neu"
"481","1","Delete permission"
"481","2","Recht löschen"
"482","1","Message - invalid"
"482","2","Nachricht - Üngültig"
"483","1","Message - no result"
"483","2","Nachricht - Kein Ergebnis"
"484","1","Search"
"484","2","Suche"
"485","1","Delete alias"
"485","2","Alias löschen"
"486","1","Path"
"486","2","Pfad"
"487","1","Alias"
"487","2","Alias"
"488","1","New message"
"488","2","Neue Nachricht"
"489","1","Trash"
"489","2","Papierkorb"
"490","1","Outgoing mails"
"490","2","Postausgang"
"491","1","Incoming mails"
"491","2","Posteingang"
"492","1","Automatic linebreak"
"492","2","Automatischer Zeilenumbruch"
"493","1","papaya will apply your linebreaks to the output page."
"493","2","papaya wird die Zeilenumbrüche aus der Eingabe in die Ausgabeseite übernehmen."
"494","1","BCC:"
"494","2","BCC:"
"495","1","CC:"
"495","2","CC:"
"496","1","To:"
"496","2","An:"
"497","1","Address already added."
"497","2","Die Adresse wurde bereits hinzugefügt."
"498","1","Address book"
"498","2","Adressbuch"
"499","1","Goto box"
