"phrase_id","phrase_text","phrase_text_lower"
"72","Send answers","send answers"
"73","Answers","answers"
"74","Subject","subject"
"75","Delete old","delete old"
"76","Refresh","refresh"
"77","Priority","priority"
"78","Delete all events older like this.","delete all events older like this."
"79","Empty","empty"
"80","Delete all events","delete all events"
"81","Forum added.","forum added."
"82","Rename","rename"
"83","Rename folder","rename folder"
"84","Cut folder","cut folder"
"85","Delete folder","delete folder"
"86","Category added.","category added."
"87","Delete forum ""%s"" (%s)?","delete forum ""%s"" (%s)?"
"88","Forum deleted.","forum deleted."
"89","Category","category"
"90","Category is not empty.","category is not empty."
"91","Delete categ ""%s"" (%s)?","delete categ ""%s"" (%s)?"
"92","Select","select"
"93","User permissions","user permissions"
"94","Login and Password","login and password"
"95","New user created.","new user created."
"96","Forum","forum"
"97","Category deleted.","category deleted."
"98","Module / View","module / view"
"99","New category","new category"
"100","New forum","new forum"
"101","Delete category","delete category"
"102","Delete forum","delete forum"
"103","Forums","forums"
"104","Calendar date modified.","calendar date modified."
"105","Calendar date ""%s"" (%s) modified.","calendar date ""%s"" (%s) modified."
"106","New Box created.","new box created."
"107","Available boxes","available boxes"
"108","Connect","connect"
"109","Page","page"
"110","XSL stylesheet","xsl stylesheet"
"111","Hyperlink","hyperlink"
"112","Date count","date count"
"113","Additional days","additional days"
"114","Modules reloaded.","modules reloaded."
"115","Search modules","search modules"
"116","Categories","categories"
"117","Discussions","discussions"
"118","No box modules found!","no box modules found!"
"119","New view","new view"
"120","Database error! Changes not saved.","database error! changes not saved."
"121","Delete view","delete view"
"122","Edit view","edit view"
"123","Output","output"
"124","Edit mode","edit mode"
"125","Class","class"
"126","File","file"
"127","Modules/Views","modules/views"
"128","New phrase","new phrase"
"129","Delete phrase ""%s""?","delete phrase ""%s""?"
"130","Delete phrase","delete phrase"
"131","Message deleted.","message deleted."
"132","Start date in ISO format (2002-12-31)","start date in iso format (2002-12-31)"
"133","Phrase added.","phrase added."
"134","End date in ISO format (2003-01-01)","end date in iso format (2003-01-01)"
"135","Copy date","copy date"
"136","Mo","mo"
"137","Monday","monday"
"138","Tu","tu"
"139","Thuesday","thuesday"
"140","We","we"
"141","Wednesday","wednesday"
"142","Th","th"
"143","Thursday","thursday"
"144","Fr","fr"
"145","Friday","friday"
"146","Sa","sa"
"147","Saturday","saturday"
"148","So","so"
"149","Sunday","sunday"
"150","June","june"
"151","May","may"
"152","August","august"
"153","July","july"
"154","September","september"
"155","October","october"
"156","November","november"
"157","December","december"
"158","February","february"
"159","March","march"
"160","April","april"
"161","Previous month","previous month"
"162","Current month","current month"
"163","Next month","next month"
"164","%s date(s)","%s date(s)"
"165","New date","new date"
"166","New regulary date","new regulary date"
"167","User ""%s"" logged out.","user ""%s"" logged out."
"168","User ""%s"" at ""%s"" on ""%s"" logged out successfull.","user ""%s"" at ""%s"" on ""%s"" logged out successfull."
"169","Login of ""%s"" failed.","login of ""%s"" failed."
"170","Login of ""%s"" at ""%s"" on ""%s"" failed.","login of ""%s"" at ""%s"" on ""%s"" failed."
"171","Login failed","login failed"
"172","Box module","box module"
"173","Publish box from ""%s""?","publish box from ""%s""?"
"174","Type","type"
"175","Box published.","box published."
"176","Backups","backups"
"177","Backup time","backup time"
"178","Restore","restore"
"179","Box modules","box modules"
"180","Delete box","delete box"
"181","Delete group","delete group"
"182","New box","new box"
"183","Clipboard","clipboard"
"184","Paste","paste"
"185","Desktop","desktop"
"186","Folder","folder"
"187","No thumbnail","no thumbnail"
"188","File ""%s"" added.","file ""%s"" added."
"189","Link text","link text"
"190","Quickinfo","quickinfo"
"191","Integration","integration"
"192","File date","file date"
"193","File type","file type"
"194","Image width","image width"
"195","Image height","image height"
"196","Alternative text","alternative text"
"197","Scaling","scaling"
"198","Scaling mode","scaling mode"
"199","Minimum","minimum"
"200","Absolute","absolute"
"201","Linking","linking"
"202","Link","link"
"203","Link target","link target"
"204","Default","default"
"205","Current window and frame","current window and frame"
"206","Current window and parent frame","current window and parent frame"
"207","Current window and top frame","current window and top frame"
"208","New window","new window"
"209","Formatting","formatting"
"210","Alignment","alignment"
"211","None","none"
"212","Left","left"
"213","Right","right"
"214","Center (horizontal)","center (horizontal)"
"215","Middle (vertical)","middle (vertical)"
"216","Left space","left space"
"217","Top space","top space"
"218","Right space","right space"
"219","Bottom space","bottom space"
"220","Upload file","upload file"
"221","Upload","upload"
"222","Files","files"
"223","Filename","filename"
"224","Filesize","filesize"
"225","Width","width"
"226","Height","height"
"227","Username","username"
"228","OK","ok"
"229","User ""%s"" logged in.","user ""%s"" logged in."
"230","User ""%s (%s)"" at ""%s"" on ""%s"" logged in successfull.","user ""%s (%s)"" at ""%s"" on ""%s"" logged in successfull."
"231","New folder","new folder"
"232","Create a new folder","create a new folder"
"234","Synchronize database with directory","synchronize database with directory"
"235","Show file","show file"
"236","Open file in a new window","open file in a new window"
"237","Edit file properties","edit file properties"
"238","Cut","cut"
"239","Cut file","cut file"
"240","Delete file","delete file"
"241","Delete user","delete user"
"242","(De)activate permissions","(de)activate permissions"
"243","New group","new group"
"244","New user","new user"
"245","Password","password"
"246","Please input your password again.","please input your password again."
"247","Repetition","repetition"
"248","Change group","change group"
"249","Email","email"
"250","Name","name"
"251","Change user","change user"
"252","Page depth","page depth"
"253","Base page","base page"
"254","Change login/password","change login/password"
"255","Login","login"
"256","Delete user ""%s"" (%s)?","delete user ""%s"" (%s)?"
"257","Member","member"
"258","Assigned","assigned"
"259","Change page state","change page state"
"260","Edit pages from others","edit pages from others"
"261","Move","move"
"262","Edit main nodes","edit main nodes"
"263","Copy","copy"
"264","Change edit permissions","change edit permissions"
"265","Delete pages","delete pages"
"266","System configuration","system configuration"
"267","Module management","module management"
"268","Rename files","rename files"
"269","Upload files","upload files"
"270","Delete files","delete files"
"271","File management","file management"
"272","Change folders","change folders"
"273","Link boxes","link boxes"
"274","Translate","translate"
"275","Create pages","create pages"
"276","View dates","view dates"
"277","Edit dates","edit dates"
"278","Groups","groups"
"279","An user can be in several groups.","an user can be in several groups."
"280","All users","all users"
"281","Informations","informations"
"282","Processing","processing"
"283","Access permissions","access permissions"
"284","Access to the page is restricted to registered visitors with the defined permissions. A page without any permission is available to all visitors.","access to the page is restricted to registered visitors with the defined permissions. a page without any permission is available to all visitors."
"285","Permission","permission"
"286","Modified","modified"
"287","Published","published"
"288","This page has own boxes.","this page has own boxes."
"289","Disable","disable"
"290","Linked boxes","linked boxes"
"291","Define own boxes for this page?","define own boxes for this page?"
"292","Yes, activate!","yes, activate!"
"293","Inherit boxes from a parent page.","inherit boxes from a parent page."
"294","Show","show"
"295","Inherited boxes","inherited boxes"
"296","Please select a page.","please select a page."
"297","Publish page","publish page"
"298","Publish page ""%s"" (%s)?","publish page ""%s"" (%s)?"
"299","Publish","publish"
"300","Delete published page ""%s"" (%s)?","delete published page ""%s"" (%s)?"
"301","Delete published page","delete published page"
"302","%s modified.","%s modified."
"303","Properties of the page ""%s (%s)"" changed.","properties of the page ""%s (%s)"" changed."
"304","Properties of the page ""%s (%s)"" on ""%s"" from ""%s"" changed.","properties of the page ""%s (%s)"" on ""%s"" from ""%s"" changed."
"305","The input in field ""%s"" is not correct.","the input in field ""%s"" is not correct."
"306","Please select a view. This will select a module, too.","please select a view. this will select a module, too."
"307","view","view"
"308","Read","read"
"309","Write","write"
"310","Create","create"
"311","Author","author"
"312","Group","group"
"313","Define metatags","define metatags"
"314","Page title","page title"
"315","Keywords","keywords"
"316","Hidden","hidden"
"317","Visible","visible"
"318","Description","description"
"319","Print view","print view"
"320","Active","active"
"321","Disabled","disabled"
"322","Main node","main node"
"323","Yes","yes"
"324","No","no"
"325","Sort","sort"
"326","Prior page","prior page"
"327","Navigation","navigation"
"328","Check index","check index"
"329","Empty output cache","empty output cache"
"330","Apply linebreaks from input to the HTML output.","apply linebreaks from input to the html output."
"331","Automatic linebreaks","automatic linebreaks"
"332","Subtitle","subtitle"
"333","Teaser","teaser"
"334","Image","image"
"335","Image align","image align"
"336","Text float","text float"
"337","URL","url"
"338","Empty cache","empty cache"
"339","Check and correct path index","check and correct path index"
"340","Prior","prior"
"341","Page deleted.","page deleted."
"342","Delete page ""%s"" (%s)?","delete page ""%s"" (%s)?"
"343","Question","question"
"344","Metatags","metatags"
"345","New page","new page"
"346","Create a new page","create a new page"
"347","New subpage","new subpage"
"348","Create a new subpage","create a new subpage"
"349","Delete page","delete page"
"350","Delete this page","delete this page"
"351","Select module and view","select module and view"
"352","Connect boxes","connect boxes"
"353","Define aliases","define aliases"
"354","Access","access"
"355","Restrict access","restrict access"
"356","Preview","preview"
"357","Next","next"
"358","Next page","next page"
"359","Versions","versions"
"360","Version management","version management"
"361","Permissions","permissions"
"362","Page preview","page preview"
"363","Clear Log","clear log"
"364","Edit permissions","edit permissions"
"365","Module","module"
"366","Sitemap","sitemap"
"367","All pages in a tree","all pages in a tree"
"368","Edit pages","edit pages"
"369","Aliases","aliases"
"370","Messaging between the users","messaging between the users"
"371","Aliases for pages","aliases for pages"
"372","Edit boxes","edit boxes"
"373","Views","views"
"374","Users","users"
"375","Configure Views","configure views"
"376","User management","user management"
"377","Modules management","modules management"
"378","Configuration","configuration"
"1897","Entry updated.","entry updated."
"380","Protocol","protocol"
"381","Interface Translations","interface translations"
"382","Image browser","image browser"
"383","Community","community"
"384","Visitors management","visitors management"
"385","Companies","companies"
"386","Company database","company database"
"387","Calendar","calendar"
"388","Calendar of events","calendar of events"
"389","MediaDB","mediadb"
"390","Multimedia database","multimedia database"
"391","Links","links"
"392","Link database","link database"
"393","Content module","content module"
"394","Edit content","edit content"
"395","State","state"
"396","Text","text"
"397","Module selection","module selection"
"398","Protocol of translation engine flushed.","protocol of translation engine flushed."
"399","Properties","properties"
"400","Title","title"
"401","Date text","date text"
"402","Duration (Days)","duration (days)"
"403","Modules","modules"
"404","Content","content"
"405","Please select","please select"
"406","Time","time"
"407","Planning horizon and max. count","planning horizon and max. count"
"408","From","from"
"409","Maximum","maximum"
"410","To","to"
"411","Administration","administration"
"412","Misc","misc"
"413","Media database","media database"
"414","Boxes","boxes"
"415","Phrase deleted.","phrase deleted."
"416","Information","information"
"417","Warning","warning"
"418","Error","error"
"419","User","user"
"420","Pages","pages"
"421","Database","database"
"422","Calender","calender"
"423","Cronjobs","cronjobs"
"424","Options","options"
"425","Change","change"
"426","Change option","change option"
"427","Tables","tables"
"428","Files and Directories","files and directories"
"429","Debugging","debugging"
"430","Project defaults","project defaults"
"431","Language","language"
"432","Internals","internals"
"433","Event protocol","event protocol"
"434","Created","created"
"435","Ready","ready"
"436","Edited","edited"
"437","Working","working"
"438","Own permissions","own permissions"
"439","Inherited permissions","inherited permissions"
"440","Additional permissions","additional permissions"
"441","Changes saved.","changes saved."
"442","Languages","languages"
"443","Messages","messages"
"444","Message","message"
"445","All","all"
"446","Translations","translations"
"447","Phrase","phrase"
"448","Edit","edit"
"449","Delete","delete"
"450","Save","save"
"451","Phrases","phrases"
"452","Add","add"
"453","unknown","unknown"
"454","Browse","browse"
"455","User added to group.","user added to group."
"456","User removed from group.","user removed from group."
"457","Manage","manage"
"458","You don´t have the needed permissions.","you don´t have the needed permissions."
"459","Frequently Asked Questions","frequently asked questions"
"460","inherited","inherited"
"461","You have no edit permissions for this page.","you have no edit permissions for this page."
"462","Owner","owner"
"463","Add phrase","add phrase"
"464","Target","target"
"465","List","list"
"466","info","info"
"467","Input","input"
"468","location","location"
"469","Price","price"
"470","Organizer","organizer"
"471","Texts","texts"
"472","Send emails","send emails"
"473","Minimum crop","minimum crop"
"474","Download","download"
"475","Replace","replace"
"476","Different file formats. Could not replace current file.","different file formats. could not replace current file."
"477","New permission","new permission"
"478","Delete surfer","delete surfer"
"479","New surfer","new surfer"
"480","New","new"
"481","Delete permission","delete permission"
"482","Message - invalid","message - invalid"
"483","Message - no result","message - no result"
"484","search","search"
"485","Delete alias","delete alias"
"486","Path","path"
"487","Alias","alias"
"488","New message","new message"
"489","Trash","trash"
"490","Outgoing mails","outgoing mails"
"491","Incoming mails","incoming mails"
"492","Automatic linebreak","automatic linebreak"
"493","Papaya will apply your linebreaks to the output page.","papaya will apply your linebreaks to the output page."
"494","BCC:","bcc:"
"495","CC:","cc:"
"496","To:","to:"
"497","Address already added.","address already added."
"498","Address book","address book"
"499","Goto box","goto box"
"500","RCPT:","rcpt:"
"501","RCPT","rcpt"
"502","Could not sent emails.","could not sent emails."
"503","Emails sent.","emails sent."
"504","Forward","forward"
"505","Answer","answer"
"506","Close","close"
"507","Cancel","cancel"
"508","Copy page ""%s"" (%d) to ""%s"" (%d)?","copy page ""%s"" (%d) to ""%s"" (%d)?"
"509","Count","count"
"510","Page moved!","page moved!"
"511","Can not move this page.","can not move this page."
"512","Date (text)","date (text)"
"513","No aliases defined.","no aliases defined."
"514","Move page ""%s"" (%d) to ""%s"" (%d)?","move page ""%s"" (%d) to ""%s"" (%d)?"
"515","Loading","loading"
"516","Delete cronjob","delete cronjob"
"517","New cronjob","new cronjob"
"518","Execution","execution"
"519","General properties","general properties"
"520","now","now"
"521","Job","job"
"522","Poll","poll"
"523","Event","event"
"524","Weekday (time frame)","weekday (time frame)"
"525","Weekday (monthly)","weekday (monthly)"
"526","Date and Time","date and time"
"527","Timeframe","timeframe"
"528","Givenname","givenname"
"529","Surname","surname"
"530","Forum page","forum page"
"531","Show last entries","show last entries"
"532","Email text","email text"
"533","Email subject","email subject"
"534","Emails","emails"
"535","Linked","linked"
"536","Activated","activated"
"537","Additional Phone","additional phone"
"538","Phone","phone"
"539","Additional Email","additional email"
"540","Additional data","additional data"
"541","Surfer","surfer"
"542","Permissions mode","permissions mode"
"543","Folder properties","folder properties"
"544","Additional","additional"
"545","Own","own"
"546","System","system"
"547","Password forgotten","password forgotten"
"548","Change password","change password"
"549","Notify question","notify question"
"550","Post Questions","post questions"
"551","Post Answers","post answers"
"552","Edit Questions and Answers","edit questions and answers"
"553","Edit Topics","edit topics"
"554","Edit FAQs","edit faqs"
"555","Invalid link","invalid link"
"556","Scan","scan"
"557","Event calendar","event calendar"
"558","Exists","exists"
"559","Table","table"
"560","No views definied.","no views definied."
"561","Action","action"
"562","Fields","fields"
"563","Could not load table structure file!","could not load table structure file!"
"564","Create table ""%s_%s""?","create table ""%s_%s""?"
"565","Auto Increment","auto increment"
"566","Null","null"
"567","Size","size"
"568","Unique","unique"
"569","Index","index"
"570","Table created.","table created."
"571","Delete field ""%s"" from table ""%s_%s""?","delete field ""%s"" from table ""%s_%s""?"
"572","Add field ""%s"" to table ""%s_%s""?","add field ""%s"" to table ""%s_%s""?"
"573","Modify field ""%s"" in table ""%s_%s""?","modify field ""%s"" in table ""%s_%s""?"
"574","Modify","modify"
"575","Field","field"
"576","%s added.","%s added."
"577","%s deleted.","%s deleted."
"578","Add index ""%s"" to table ""%s_%s""?","add index ""%s"" to table ""%s_%s""?"
"579","Delete index ""%s"" from table ""%s_%s""?","delete index ""%s"" from table ""%s_%s""?"
"580","Please input a relative or an absolute URL.","please input a relative or an absolute url."
"581","Value","value"
"582","Option","option"
"583","Default pages","default pages"
"584","Layout","layout"
"585","Modify index ""%s"" in table ""%s_%s""?","modify index ""%s"" in table ""%s_%s""?"
"586","Couldn´t publish this page.","couldn´t publish this page."
"587","Max length","max length"
"588","File path","file path"
"589","File name","file name"
"590","Parameters","parameters"
"591","WhoIsWho","whoiswho"
"592","Items","items"
"593","Needed","needed"
"594","PCRE","pcre"
"595","Function","function"
"596","Validation","validation"
"597","Delete field","delete field"
"598","New field","new field"
"599","People","people"
"600","Edit form","edit form"
"601","Can not activate module(s).","can not activate module(s)."
"602","Job module","job module"
"603","Time calculation","time calculation"
"604","Next execution","next execution"
"605","Last execution","last execution"
"606","Execute","execute"
"607","Can not initialize module file ""%s""","can not initialize module file ""%s"""
"608","Activate cronjob","activate cronjob"
"609","CSS","css"
"610","Max","max"
"611","Delete group ""%s (%d)""?","delete group ""%s (%d)""?"
"612","Form","form"
"613","Group deleted.","group deleted."
"614","Database error!","database error!"
"615","Data","data"
"616","Data added.","data added."
"617","Path index checked.","path index checked."
"618","Add surfer ""%s""?","add surfer ""%s""?"
"619","Tree","tree"
"620","New FAQ","new faq"
"621","Delete data","delete data"
"622","Add data","add data"
"623","Unpublish","unpublish"
"624","no data","no data"
"625","Show surfer on page?","show surfer on page?"
"626","Delete all data?","delete all data?"
"627","Hide","hide"
"628","Hide surfer on page?","hide surfer on page?"
"629","Version time","version time"
"630","Publish box ""%s"" (%s)?","publish box ""%s"" (%s)?"
"631","Commit time","commit time"
"632","Can not delete this page.","can not delete this page."
"633","Caption: Delete button","caption: delete button"
"634","File ""%s (%s)"" not found. Record deleted.","file ""%s (%s)"" not found. record deleted."
"635","Delete file?","delete file?"
"636","Delete field ""%s (%s)""?","delete field ""%s (%s)""?"
"637","Rows","rows"
"638","Permission linked!","permission linked!"
"639","New surfer created.","new surfer created."
"640","Reset Optimisation","reset optimisation"
"641","Clear modules","clear modules"
"642","Optimisation flushed.","optimisation flushed."
"643","Remove unknown options","remove unknown options"
"644","Remove unknown","remove unknown"
"645","Administrator","administrator"
"646","You can not delete system users.","you can not delete system users."
"647","%s paths changed.","%s paths changed."
"648","Delete group ""%s"" (%s)?","delete group ""%s"" (%s)?"
"649","Check and create data paths","check and create data paths"
"650","Id","id"
"651","Export surfers","export surfers"
"652","Cut category","cut category"
"653","New link","new link"
"654","Base","base"
"655","Check paths","check paths"
"656","%s is writeable.","%s is writeable."
"657","Cache path","cache path"
"658","Thumbnail path","thumbnail path"
"659","Media database path","media database path"
"660","Data path","data path"
"661","Clicks","clicks"
"662","Status","status"
"663","Cut link","cut link"
"664","Delete link","delete link"
"665","Protocol deleted.","protocol deleted."
"666","IP","ip"
"667","Script","script"
"668","Projects","projects"
"669","New project","new project"
"670","Deadline","deadline"
"671","End time","end time"
"672","Start time","start time"
"673","Customer","customer"
"674","inactive","inactive"
"675","free","free"
"676","in this project","in this project"
"677","Delete project","delete project"
"678","Project","project"
"679","Copy view","copy view"
"680","Used","used"
"681","Email exists","email exists"
"682","Wrong activate code","wrong activate code"
"683","Registration confirmed","registration confirmed"
"684","Registration requested","registration requested"
"685","Registration done","registration done"
"686","Mail message","mail message"
"687","Mail subject","mail subject"
"688","Sender name","sender name"
"689","Sender mail","sender mail"
"690","Input error","input error"
"691","Error messages","error messages"
"692","Email not found","email not found"
"693","Wrong inactivate code","wrong inactivate code"
"694","Deregistration confirmed","deregistration confirmed"
"695","Deregistration requested","deregistration requested"
"696","Surfers","surfers"
"697","Export data","export data"
"698","Export emails","export emails"
"699","Mrs.","mrs."
"700","Mr.","mr."
"701","Data only","data only"
"702","Newsletter","newsletter"
"703","Registration","registration"
"704","Confirmed","confirmed"
"705","Fax","fax"
"706","City","city"
"707","Zip code","zip code"
"708","House number","house number"
"709","Street","street"
"710","Section","section"
"711","Position","position"
"712","Company","company"
"713","Branch","branch"
"714","Last name","last name"
"715","First name","first name"
"716","Salution","salution"
"717","Delete surfer ""%s"" (%s)?","delete surfer ""%s"" (%s)?"
"718","Mobile phone","mobile phone"
"719","Gig","gig"
"720","Artist","artist"
"721","Link Artist","link artist"
"722","Link Location","link location"
"723","New Event","new event"
"724","Artists","artists"
"725","Locations","locations"
"726","Events","events"
"727","Joker Ticket","joker ticket"
"728","Festival Ticket","festival ticket"
"729","Text Links","text links"
"730","Text Sponsors","text sponsors"
"731","Text Images","text images"
"732","Date end","date end"
"733","Date from","date from"
"734","Highlight","highlight"
"735","Regulary date saved and dates changed.","regulary date saved and dates changed."
"736","Thumbnail","thumbnail"
"737","Date","date"
"738","Ignored dates","ignored dates"
"739","Detach","detach"
"740","Added date to ignore list.","added date to ignore list."
"741","Month","month"
"742","Repeat","repeat"
"743","Weekday","weekday"
"744","Date from regulary date detached.","date from regulary date detached."
"745","Removed date from ignore list. Please recreate cached dates.","removed date from ignore list. please recreate cached dates."
"746","%d single date(s) created!","%d single date(s) created!"
"747","Installation / Update","installation / update"
"748","Default data","default data"
"749","Record count","record count"
"750","Structure","structure"
"751","Found","found"
"752","Switch Richtext Editor","switch richtext editor"
"753","Do you like to use the richtext editor?","do you like to use the richtext editor?"
"754","From email","from email"
"755","From name","from name"
"756","Send notify emails","send notify emails"
"757","Moderator email","moderator email"
"758","Moderator name","moderator name"
"759","Send moderator emails","send moderator emails"
"760","Post comments","post comments"
"761","Repair path","repair path"
"762","Links per page","links per page"
"763","previous page","previous page"
"764","Metadata","metadata"
"765","Aliases are alternative URLs","aliases are alternative urls"
"766","Select Version","select version"
"767","Current","current"
"768","Change alias","change alias"
"769","XML output preview","xml output preview"
"770","XML preview","xml preview"
"771","Full window preview","full window preview"
"772","Alias deleted.","alias deleted."
"773","Really delete Alias ""%s""?","really delete alias ""%s""?"
"774","404 - invalid page","404 - invalid page"
"775","Full window","full window"
"776","Page #%d deleted.","page #%d deleted."
"777","Install/Upgrade","install/upgrade"
"778","Done. %d queries for %d bytes data","done. %d queries for %d bytes data"
"779","Please input the new password in both input fields","please input the new password in both input fields"
"780","Copy of","copy of"
"781","The system sent you an email with a link to change your password. Please remember that this link is only valid for 24 hours.","the system sent you an email with a link to change your password. please remember that this link is only valid for 24 hours."
"782","Charsets","charsets"
"783","Please ignore this mail if you do not like to change you password.","please ignore this mail if you do not like to change you password."
"784","To change your password please click the link:","to change your password please click the link:"
"785","Last Login","last login"
"786","Forgot password?","forgot password?"
"787","You get this mail because here was a password change request for %s","you get this mail because here was a password change request for %s"
"788","The system will send you an email with a link to change your password. This link is valid for 24 hours.","the system will send you an email with a link to change your password. this link is valid for 24 hours."
"789","Column count","column count"
"790","Change permission","change permission"
"791","Export database","export database"
"792","Group permissions","group permissions"
"793","Restore version","restore version"
"794","Restore version for ""%s"" from %s?","restore version for ""%s"" from %s?"
"795","Version restored.","version restored."
"796","Can not move file ""%s"".","can not move file ""%s""."
"797","Enable","enable"
"798","On","on"
"799","File ""%s"" is to large.","file ""%s"" is to large."
"800","Comment","comment"
"801","Days","days"
"802","No input in field ""%s"". Using default values.","no input in field ""%s"". using default values."
"803","Minutes","minutes"
"804","Hours","hours"
"805","Regulary date saved but dates not changed.","regulary date saved but dates not changed."
"806","No temporary upload path.","no temporary upload path."
"807","Edit Registrations","edit registrations"
"808","Title default","title default"
"809","You can not change your own username.","you can not change your own username."
"810","Interface","interface"
"811","Image file","image file"
"812","New Language","new language"
"813","Ident","ident"
"814","Delete language ""%s""?","delete language ""%s""?"
"815","Language has phrase translations for admininterface.","language has phrase translations for admininterface."
"816","Content Language","content language"
"817","No title","no title"
"818","Add content for language ""%s"" (%s) to page ""%s""?","add content for language ""%s"" (%s) to page ""%s""?"
"819","Configure Dynamic Images","configure dynamic images"
"820","filter","filter"
"821","year","year"
"822","Language independent information","language independent information"
"823","Page forwarded.","page forwarded."
"824","#","#"
"825","Overview","overview"
"826","Language independent","language independent"
"827","Handoff page","handoff page"
"828","Letter","letter"
"829","Handoff this page","handoff this page"
"830","Topics / Messages / Todos","topics / messages / todos"
"831","Publish this page","publish this page"
"832","Open todos","open todos"
"833","New messages","new messages"
"834","Todo management","todo management"
"835","Todo","todo"
"836","Search Page","search page"
"837","Search for a Page","search for a page"
"838","Suche","suche"
"839","Search for","search for"
"840","Directory","directory"
"841","Directory Upload","directory upload"
"842","Template Body","template body"
"843","Template Subject","template subject"
"844","Sender","sender"
"845","Confirmation","confirmation"
"846","Recipient","recipient"
"847","Hello","hello"
"848","Privacy","privacy"
"849","New Poll","new poll"
"850","Delete Answer","delete answer"
"851","Delete Poll","delete poll"
"852","Answer Sort","answer sort"
"853","New Answer","new answer"
"854","Actual month","actual month"
"855","Days to add","days to add"
"856","Months to add","months to add"
"857","Success","success"
"858","Confirm Password","confirm password"
"859","Confirm Email","confirm email"
"860","User Exists","user exists"
"861","Same Data","same data"
"862","Password Entry","password entry"
"863","Email Entry","email entry"
"864","Datafields Error","datafields error"
"865","Mail Send","mail send"
"866","Database Input","database input"
"867","Mailfrom Name","mailfrom name"
"868","Mailfrom email","mailfrom email"
"869","Default group","default group"
"870","Saved","saved"
"871","No user","no user"
"872","Wrong password","wrong password"
"873","Database error","database error"
"874","Webpage","webpage"
"875","Salutation","salutation"
"876","Postal Code","postal code"
"877","Ms.","ms."
"878","No todos.","no todos."
"879","Contact","contact"
"880","Manage Tags","manage tags"
"881","Tags","tags"
"882","You can search for all kind of pages. Please use the Options on the left.","you can search for all kind of pages. please use the options on the left."
"883","ISO Date YYYY-MM-DD","iso date yyyy-mm-dd"
"884","Ignore","ignore"
"885","Not published","not published"
"886","No new messages.","no new messages."
"887","Latest publications","latest publications"
"888","Create a new Todo Entry","create a new todo entry"
"889","ISO Time HH:MM","iso time hh:mm"
"890","Time to","time to"
"891","Date to","date to"
"892","Create for","create for"
"893","New Todo","new todo"
"894","No todo's defined.","no todo's defined."
"895","Todo List","todo list"
"896","Todos","todos"
